user_id,date,product_category,price,delivery_id,location,age,gender,past_buying_history
17710,5/15/23,FACEWASH,7.99,20137,Indiana,40-49,F,MILK
28437,8/16/23,CREAM,22.38,34183,Florida,20-29,F,CHIPS
10297,7/22/23,FACEWASH,8.59,30322,Indiana,40-49,F,MILK
15604,9/6/23,CREAM,49.76,37302,New Jersey,30-39,F,BODY WASH
6157,6/16/23,FACEWASH,8.49,24922,Indiana,40-49,F,MILK
643,8/31/23,CREAM,25.38,36417,New Jersey,30-39,F,BODY WASH
24894,7/15/23,CREAM,21.78,29396,Florida,20-29,F,CHIPS
28219,8/15/23,FACEWASH,9.49,33910,Florida,20-29,F,CHIPS
32750,9/24/23,CREAM,24.87,40029,New Jersey,30-39,F,SHAMPOO
26312,7/28/23,CREAM,21.14,31349,Florida,20-29,F,CHIPS
24739,7/14/23,LOTION,14.09,29190,Florida,20-29,F,CHIPS
27314,8/7/23,FACEWASH,9.49,32710,Florida,20-29,F,CHIPS
29554,8/26/23,CREAM,21.14,35697,Florida,20-29,F,CHIPS
25555,7/22/23,FACEWASH,10.48,30309,Florida,20-29,F,CHIPS
23413,7/2/23,CREAM,21.38,27438,Indiana,40-49,F,PACKAGED FOODS
30838,9/7/23,LOTION,15.99,37432,Florida,20-29,F,CHIPS
8987,3/6/23,FACEWASH,8.29,9639,Florida,20-29,F,CHIPS
19037,7/29/23,LOTION,23.58,31408,Florida,20-29,F,CHIPS
30481,9/4/23,FACEWASH,7.99,36937,New Jersey,30-39,F,BODY WASH
30157,9/1/23,LOTION,17.99,36515,New Jersey,30-39,F,SHAMPOO
27986,8/12/23,CREAM,23.39,33593,Florida,20-29,F,CHIPS
3008,6/7/23,LOTION,19.9,23612,Florida,20-29,F,CHIPS
28818,8/20/23,LOTION,17.38,34721,Florida,20-29,F,CHIPS
22700,6/26/23,LOTION,16.29,26495,Georgia,40-49,F,PACKAGED FOODS
11842,8/23/23,LOTION,16.09,35174,Indiana,40-49,F,MILK
26743,8/1/23,CREAM,23.96,31924,Florida,20-29,F,CHIPS
32415,9/21/23,CREAM,24.87,39573,New Jersey,30-39,F,SHAMPOO
20984,6/11/23,CREAM,22.99,24268,Indiana,40-49,F,PACKAGED FOODS
5088,7/10/23,LOTION,25.38,28557,New Jersey,30-39,F,BODY WASH
25354,8/9/23,FACEWASH,7.75,33044,New Jersey,30-39,F,BODY WASH
23094,7/21/23,FACEWASH,9.49,30160,New Jersey,30-39,F,BODY WASH
7381,4/6/23,FACEWASH,8.49,14267,New Jersey,30-39,F,BODY WASH
23872,7/6/23,CREAM,24.02,28031,Indiana,40-49,F,MILK
20690,6/9/23,LOTION,19.98,23907,Florida,20-29,F,CHIPS
204,8/3/23,LOTION,17.58,32172,Florida,20-29,F,CHIPS
23851,7/6/23,CREAM,41.01,28003,California,20-29,F,DISH SOAP
20217,6/5/23,LOTION,35.4,23301,Florida,20-29,F,LAUNDRY DETERGENT
22593,8/14/23,CREAM,25.16,33867,Florida,20-29,F,CHIPS
29084,8/22/23,CREAM,22.38,35072,Florida,20-29,F,CHIPS
15987,7/20/23,LOTION,15.78,30092,Indiana,40-49,F,MILK
2216,1/16/23,FACEWASH,9.19,2265,Indiana,40-49,F,MILK
11101,6/19/23,LOTION,17.1,25443,Georgia,40-49,F,PACKAGED FOODS
12399,4/1/23,CREAM,32.18,13607,New Jersey,30-39,F,TOOTHPASTE
25217,7/18/23,CREAM,19.99,29844,Florida,20-29,M,CHIPS
